restaurant_id,website,rating,middle_eastern,african,american,mexican,latin_american,italian,chinese,japanese,southern_central_asian,french,eastern_europe,central_europe,caribbean,mediterranean,indian,spanish,kosher,gluten_free,oneDollar,twoDollar,threeDollar,fourDollar,pickup,delivery,restaurant_reservation,Classy,Loud,Hipster,Groups,Kids,Garage,Street,Valet,Validated,WiFi,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,TV,Waiter,Outdoor,Dancing,Working,Smoking,Bike,Casual,Intimate,Upscale,Moderate,Quiet,Breakfast,Lunch,Dinner,Dessert,Brunch,Late,Trendy,Divey,Bar,Catering,Plastic,reusable,staffMasks,staffVac,vaccination,Compostable,Wheelchair,Vegan,Vegetarian,Gluten,Pescatarian,Keto,Soy,Dogs,Women,Military,Gender
lRH_cZ08TXKnCS5FKP0Qow,https://www.yelp.com/biz/un-je-ne-sais-quoi-washington?adjust_creative=zQXigI7LgZAT12wMOc08kg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zQXigI7LgZAT12wMOc08kg,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,-1,1,0,1,0,0,1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,-1,1,0,1
ggeYPHJ-MKiVWR5OsgdKmg,http://roti.com,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,0
M6CCTsxdJ330872oM_QJSw,http://www.boulangeriechristop…,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,-1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,-1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1
8M2lx56pR6Ld6_BbTbSyeg,http://www.falafelinc.org,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,-1,0,0,0
iHhrBAMa833_hkYfZ5fDoQ,http://simplybanhmi.com,4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1,1,0,1,0,0,1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-1,1,1,0,0,0,0,-1,0,0,1
Ldm1tzHlw--JRGASgNSNVw,http://www.yerevandc.com,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,-1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,-1,0,0,0,0,0,0,-1,0,0,0
D9zhHpIfTmIwDLYk0CIEdg,https://www.yelp.com/biz/uptowner-cafe-washington?adjust_creative=zQXigI7LgZAT12wMOc08kg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zQXigI7LgZAT12wMOc08kg,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,-1,1,0,1,0,0,1,0,0,0,0,0,0,0,-1,-1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,1
HAaETXZznmKqwppZOqM5iw,http://www.henryssoulcafe.com,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0
SF2nnyDG-O1pXqX3UhJSoQ,http://www.dogtaginc.org,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,-1,1,0,1
atKcmQdxa-GT31FjGVahUA,http://www.mobyskabob.com,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
